time,sensor_AccelerometerX[],sensor_AccelerometerY[],sensor_AccelerometerZ[],sensor_LinearAccelerationSensorX[],sensor_LinearAccelerationSensorY[],sensor_LinearAccelerationSensorZ[],sensor_GravitySensorX[],sensor_GravitySensorY[],sensor_GravitySensorZ[],sensor_GyroscopeX[],sensor_GyroscopeY[],sensor_GyroscopeZ[],sensor_RelativeOrientationSensor1[],sensor_RelativeOrientationSensor2[],sensor_RelativeOrientationSensor3[],sensor_RelativeOrientationSensor4[],sensor_AbsoluteOrientationSensor1[],sensor_AbsoluteOrientationSensor2[],sensor_AbsoluteOrientationSensor3[],sensor_AbsoluteOrientationSensor4[],label_StillShake_Still,label_StillShake_Shake
1657209022377,,,,6.2,3,-3.1,,,,,,,,,,,,,,,,
1657209022576,,,,6.2,3.2,-3.1,,,,,,,,,,,,,,,x,
1657209022577,,,,,,,-0.30000000000000004,0.30000000000000004,9.8,,,,,,,,,,,,x,
1657209022597,,,,6.2,3.2,-3.1,-0.30000000000000004,0.30000000000000004,9.8,,,,,,,,,,,,x,
1657209022607,,,,,,,,,,,,,0.001732774657634278,-0.00004537430128188609,0.09930462286468705,0.9950555699612263,,,,,x,
1657209022608,,,,,,,,,,,,,,,,,-0.004082910854359842,0.02043297278852795,0.795729232528947,0.6052939880428944,x,
1657209022617,,,,6.1000000000000005,3.3000000000000003,-3.1,-0.30000000000000004,0.2,9.8,,,,,,,,,,,,x,
1657209022619,,,,,,,,,,-0.003490658503988659,0,0,,,,,,,,,x,
1657209022627,,,,,,,,,,,,,0.001732851211523332,-0.0000423499714112117,0.09930462286468705,0.9950555699612263,,,,,x,
1657209022628,,,,,,,,,,,,,,,,,-0.003260024660776634,0.01776247747039472,0.7957971190400561,0.6052939880428944,x,
1657209022636,,,,6,3.3000000000000003,-3.1,,,,,,,,,,,,,,,x,
1657209022637,,,,,,,-0.2,0.2,9.8,,,,,,,,,,,,x,
1657209022639,,,,,,,,,,-0.003490658503988659,0,-0.0017453292519943296,,,,,,,,,x,
1657209022650,,,,,,,,,,,,,0.0017325133269876186,-0.000054446424737564286,0.09930462286468705,0.9950555699612263,,,,,x,
1657209022651,,,,,,,,,,,,,,,,,-0.001740089079820531,0.012381377152806407,0.7959038017429761,0.6052939880428944,x,
1657209022656,,,,6,3.3000000000000003,-3.1,,,,,,,,,,,,,,,x,
1657209022657,,,,,,,-0.2,0.2,9.8,,,,,,,,,,,,x,
1657209022659,,,,,,,,,,-0.0017453292519943296,0,0.0017453292519943296,,,,,,,,,x,
1657209022672,,,,,,,,,,,,,0.001732415661330075,-0.00005747014646482678,0.09930462286468705,0.9950555699612263,,,,,x,
